id,name,name_ja,note,url_src,license,author,year_created,url_jpg,url_glb,url_stl,url_stl_3dprinter
human_heart,Heart,心臓,,https://3d.nih.gov/entries/3DPX-021000,CC BY,Kristen Browne; Heidi Schlehlein,2022,https://code4fukui.github.io/human_organs/jpg/vh_m_heart_thumb_NIH3D.jpg,https://code4fukui.github.io/human_organs/glb/VH_M_Heart.glb,https://code4fukui.github.io/human_organs/stl/vh_m_heart_NIH3D.stl,
human_lungs,Lungs,肺,,https://3d.nih.gov/entries/3DPX-021008,CC BY,Kristen Browne; Heidi Schlehlein,2023,https://code4fukui.github.io/human_organs/jpg/3d-vh-f-lung_thumb_NIH3D.jpg,https://code4fukui.github.io/human_organs/glb/3d-vh-f-lung.glb,https://code4fukui.github.io/human_organs/stl/3d-vh-f-lung_NIH3D.stl,
human_brain,Brain,脳,,https://3d.nih.gov/entries/3DPX-002386,CC BY,Nevit Dilmen,2015,https://code4fukui.github.io/human_organs/jpg/Atrophic_Brain_Cube_T2_Flair_3DFile_300000_thumb_NIH3D.jpg,https://code4fukui.github.io/human_organs/glb/Atrophic_Brain_Cube_T2_Flair_3DFile_300000_NIH3D.glb,https://code4fukui.github.io/human_organs/stl/Atrophic_Brain_Cube_T2_Flair_3DFile_300000_NIH3D.stl,https://code4fukui.github.io/human_organs/stl_for_3dprinter/brain.stl
human_liver,Liver,肝臓,,https://3d.nih.gov/entries/3DPX-021007,CC BY,Kristen Browne; Heidi Schlehlein,2022,https://code4fukui.github.io/human_organs/jpg/vh_m_liver_thumb_NIH3D.jpg,https://code4fukui.github.io/human_organs/glb/VH_M_Liver.glb,https://code4fukui.github.io/human_organs/stl/vh_m_liver_NIH3D.stl,
human_kidneys,Kidneys,腎臓,left,https://3d.nih.gov/entries/3DPX-021001,CC BY,Kristen Browne; Heidi Schlehlein,2022,https://code4fukui.github.io/human_organs/jpg/vh_m_kidney_l_thumb_NIH3D.jpg,https://code4fukui.github.io/human_organs/glb/VH_M_Kidney_L.glb,https://code4fukui.github.io/human_organs/stl/vh_m_kidney_l_NIH3D.stl,
human_stomach,Stomach,胃,,https://3d.nih.gov/entries/3DPX-021124,CC BY,"Hyes, A.g.",2017,https://code4fukui.github.io/human_organs/jpg/realistic_stomach_thumb_NIH3D.jpg,https://code4fukui.github.io/human_organs/glb/realistic_stomach.glb,https://code4fukui.github.io/human_organs/stl/realistic_stomach_NIH3D.stl,https://code4fukui.github.io/human_organs/stl_for_3dprinter/stomach.stl
human_large_intestine,Large Intestine,大腸,female,https://3d.nih.gov/entries/3DPX-020971,CC BY,Kristen Browne; Heidi Schlehlein,2022,https://code4fukui.github.io/human_organs/jpg/sbu_f_intestine_large_thumb_NIH3D.jpg,https://code4fukui.github.io/human_organs/glb/SBU_F_Intestine_Large.glb,https://code4fukui.github.io/human_organs/stl/sbu_f_intestine_large_NIH3D.stl,
human_small_intestine,Small Intestine,小腸,female,https://3d.nih.gov/entries/3DPX-020987,CC BY,Kristen Browne; Heidi Schlehlein,2022,https://code4fukui.github.io/human_organs/jpg/vh_f_small_intestine_thumb_NIH3D.jpg,https://code4fukui.github.io/human_organs/glb/VH_F_Small_Intestine.glb,https://code4fukui.github.io/human_organs/stl/vh_f_small_intestine_NIH3D.stl,
human_bladder,Bladder,膀胱,,https://3d.nih.gov/entries/3DPX-020995,CC BY,Kristen Browne; Heidi Schlehlein,2022,https://code4fukui.github.io/human_organs/jpg/vh_f_urinary_bladder_thumb_NIH3D.jpg,https://code4fukui.github.io/human_organs/glb/VH_F_Urinary_Bladder.glb,https://code4fukui.github.io/human_organs/stl/vh_f_urinary_bladder_NIH3D.stl,
human_spleen,Spleen,脾臓,,https://3d.nih.gov/entries/3DPX-020989,CC BY,Kristen Browne; Heidi Schlehlein,2022,https://code4fukui.github.io/human_organs/jpg/vh_f_spleen_thumb_NIH3D.jpg,https://code4fukui.github.io/human_organs/glb/VH_F_Spleen.glb,https://code4fukui.github.io/human_organs/stl/vh_f_spleen_NIH3D.stl,
human_pancreas,Pancreas,膵臓,,https://3d.nih.gov/entries/3DPX-021013,CC BY,Kristen Browne; Heidi Schlehlein,2023,https://code4fukui.github.io/human_organs/jpg/3d-vh-m-pancreas_thumb_NIH3D.jpg,https://code4fukui.github.io/human_organs/glb/3d-vh-m-pancreas.glb,https://code4fukui.github.io/human_organs/stl/3d-vh-m-pancreas_NIH3D.stl,
human_vertebra,Vertebra,脊椎,,https://3d.nih.gov/entries/3DPX-000307,CC BY,PHS Research,2014,https://code4fukui.github.io/human_organs/jpg/First_lumbar_vertebra_thumb_NIH3D.jpg,https://code4fukui.github.io/human_organs/glb/First_lumbar_vertebra_NIH3D.glb,https://code4fukui.github.io/human_organs/stl/First_lumbar_vertebra_NIH3D.stl,
